source_en	preferred_tw	avoid_tw	notes
Nurgle	納垢	納格爾;納垢爾	混沌四神之一
Khorne	恐虐	柯恩;科恩	混沌四神之一
Tzeentch	奸奇	辛烈治;奸奇	混沌四神之一，保留「奸奇」
Slaanesh	色孽	色列斯;斯拉尼什	混沌四神之一
Chaos	混沌	渾沌	战锤 40K 习惯译名
Chaos Space Marines	混沌星際戰士	混沌太空陸戰隊	
Space Marines	星際戰士	太空陸戰隊	
Space Marine	星際戰士	太空陸戰隊	
Blood Ravens	血鴉	血腥渡鴉	
White Scars	白色疤痕	白色標誌	
Ultramarines	極限戰士	超級戰士	
Black Legion	黑色軍團	黑軍團	
Araghast the Pillager	掠奪者亞拉哈斯特	阿拉哈斯特;亞拉哈斯;亞拉加斯
Imperium	帝國	人類帝國	按语境可译为「人類帝國」
Imperial Guard	星界軍	帝國衛隊;帝國防衛軍	按当前大陆玩家习惯统一为「星界軍」
Astra Militarum	星界軍	帝國衛隊;帝國防衛軍	较新版设定名
Inquisition	審判庭	異端審判庭	按语境可译「帝國審判庭」
Inquisitor	審判官	異端審判官	
Eldar	靈族	艾達靈族;神靈族	DoW II 时代文本通常用「靈族」
Eldar Stone	靈族靈石	神靈之石	教程物品
Dark Eldar	黑暗靈族	黑暗艾達	
Exarch	司戰	聖者;神官
Avatar of Khaine	凱恩戰神分身	凱恩化身;戰神化身;蓋恩聖者
Khaine	凱恩	蓋恩
Fire Prism	火稜鏡坦克	火棱坦克
Prism Cannon	火稜鏡炮	火棱炮
Orks	獸人	歐克;綠皮	游戏内种族名统一「獸人」
Ork	獸人	歐克;綠皮	
Feral Orks	蠻荒獸人	獸人蠻人;獸人蠻族;歐克蠻人;歐克蠻族	野生/退化兽人
Tyranids	泰倫蟲族	泰倫;蟲族	种族名
Tyranid	泰倫蟲族	泰倫	
Hive Mind	蟲巢意志	蜂巢心智	
Hive Tyrant	蟲巢暴君	蜂巢暴君	
Carnifex	劊子手	異形卡尼菲克;卡尼菲克斯	按大陆常见译名
Tyranid Warrior	泰倫蟲族武士	異形戰士	泰伦单位
Lictor	利卡特	利克特	
Zoanthrope	靈能蟲	佐安索普	
Genestealer	基因竊取者	基因偷取者	
Termagant	槍蟲	泰馬蟲	
Hormagaunt	刀蟲	荷瑪岡特	
Ripper	撕裂蟲	裂殖蟲	
Ravener	掘蟒	吞噬蟲
Ravener Alpha	掘蟒阿爾法	吞噬蟲突變體;掘蟒蟲首領
Waaagh!	WAAAGH	哇啊啊!;哇啊啊;哇啊	兽人战吼保留，独立感叹用 WAAAGH！
Mekboy	技霸	技工小子	
Warboss	戰爭頭目	戰鬥老大;戰爭老大	獸人指揮官
Nob	老大	貴族	兽人 Nob
Wartrukk	戰爭卡車	戰鬥卡車;戰卡車
Deff Dread	死亡無畏	死無畏
Dreadnought	無畏機甲	無畏者;無畏機兵	星际战士载具
Daemonic Doppelganger	惡魔替身	惡魔分身;惡魔幽靈	混沌巫師召喚物
Doppelganger	替身	分身	按语境避免误改戰神分身
Terminator	終結者	終結兵	
Scout	偵察兵	斥候;偵查兵;偵查者;星際戰士哨兵	
Scout Marine	星際戰士偵察兵	星際戰士哨兵	
Scout Squad	偵察兵小隊	偵查兵小隊;偵查者小隊	
Scout Sergeant	偵察兵軍士	偵查者士官;偵查兵士官	
Scout Armor	偵察兵裝甲	斥侯盔甲;偵查者盔甲	
Shotgun	霰彈槍	散彈槍	
Combat Shotgun	戰鬥霰彈槍	戰鬥散彈槍	
Sniper Rifle	狙擊步槍	狙擊槍;刺穿武器	
Infiltrate	滲透	投降	
Tactical Marine	戰術星際戰士	戰術陸戰隊	
Devastator	毀滅者	破壞者	星际战士重武器小队
Assault Marine	突擊星際戰士	突擊陸戰隊	
Force Commander	部隊指揮官	軍力指揮官	DoW II 英雄
Apothecary	藥劑師	醫護兵	
Librarian	智庫	圖書館員	
Librarian	智庫	智庫館長	DoW II 旧译修正
Thunderhawk	雷鷹運輸艇	雷神之鷹運輸機;雷神之鷹號;雷神之鷹	星际战士飞行器
Techmarine	技術軍士	科技陸戰隊	
Chaplain	牧師	隨軍牧師	
Chapter	戰團	章節	星际战士 Chapter
Company	連隊	公司	军事编制
Brother	兄弟	弟兄	星际战士称呼
Heresy	異端	叛亂	按语境
Heretic	異端	異教徒	
Xenos	異形	外星人	帝国术语
Daemon	惡魔	魔鬼	
Daemon Prince	惡魔親王	惡魔王子	
Bloodcrusher	碾血者	嗜血碾顱者;惡魔坐騎
Warp	亞空間	扭曲空間	
Psyker	靈能者	心靈者	
Psychic	靈能	心靈	
Power Sword	動力劍	能量劍	
Chainsword	鏈鋸劍	鏈劍	
Bolter	爆彈槍	爆矢槍	
Boltgun	爆彈槍	爆矢槍	
Heavy Bolter	重爆彈槍	重型爆矢槍	
Plasma Gun	等離子槍	電漿槍	
Melta Gun	熱熔槍	熔槍	
Flamer	火焰噴射器	火焰槍	
Lascannon	雷射炮	激光炮	繁体文本中用「雷射」
Power Fist	動力拳套	能量拳套	
Thunder Hammer	雷霆錘	雷槌	
Relic	聖物	遺物	按语境
Wargear	戰爭裝備	戰具	
Squad	小隊	班	
Commander	指揮官	司令官	
Sergeant	軍士	士官	
Veteran	老兵	資深	
Campaign	戰役	任務模式	
The Last Stand	背水一戰	最後戰役	DoW II 模式名
Retribution	懲罰	報復	游戏副标题可保留「Retribution」
Chaos Rising	混沌崛起	渾沌再起	资料片名
