game_key	id	en	zh_new	notes
retribution	9132685	Used in every Black Crusade launched by Abaddon the Despoiler, this ancient bolt pistol has traded hands between Traitors and Loyalists numerous times. The Inquisition would see it destroyed, but somehow the weapon always finds its way back into use.	這把古老的爆彈手槍曾出現在掠奪者阿巴頓發動的每一次黑色遠征中，並在叛徒與忠誠派之間多次易手。審判庭希望將它摧毀，但這件武器總會以某種方式重新投入使用。	2026-05-17 main chat Abaddon terminology/dialogue fix
retribution	9138919	An entire Adeptus Astartes Chapter - he must scheme to become a Chaos Warmaster! 	整個阿斯塔特戰團——他一定圖謀成為混沌戰帥！	2026-05-17 main chat Abaddon terminology/dialogue fix
retribution	9138920	Respectfully, Abaddon, would it not be wise to allow Kyras to destroy the Blood Ravens himself?	恕我直言，阿巴頓，讓凱拉斯親手毀滅血鴉是否更為明智？	2026-05-17 main chat Abaddon terminology/dialogue fix
retribution	9138949	L-Lord Abaddon, victory is within my grasp... I have intercepted a message from Kyras - he is on Typhon...	阿……阿巴頓大人，勝利已在我掌握之中……我截獲了凱拉斯的訊息——他在泰豐……	2026-05-17 main chat Abaddon terminology/dialogue fix
retribution	9138969	Eliphas, you have failed Lord Abaddon, as you have failed Ulkair...	艾里法斯，你辜負了阿巴頓大人，就像你辜負烏凱爾一樣……	2026-05-17 main chat Abaddon terminology/dialogue fix
retribution	9138970	L-Lord Abaddon! K-Kyras is a coward and hides among the stars... 	阿……阿巴頓大人！凱……凱拉斯是個懦夫，藏身於群星之間……	2026-05-17 main chat Abaddon terminology/dialogue fix
retribution	9139076	Lord Abaddon... I trust that Neroth will not interfere with my command... 	阿巴頓大人……我相信奈若斯不會干涉我的指揮……	2026-05-17 main chat Abaddon terminology/dialogue fix
retribution	9139757	My allegiance lies with Lord Abaddon; it is unwise to oppose him... 	我效忠的是阿巴頓大人；與他作對並不明智……	2026-05-17 main chat Abaddon terminology/dialogue fix
retribution	9141211	Skull less, Abaddon will be powerless to mend your flesh again!	少了這顆頭骨，阿巴頓就再也無法修復你的血肉！	2026-05-17 main chat Abaddon terminology/dialogue fix
retribution	9143484	Lord Abaddon? It-it... cannot be you.	阿巴頓大人？不……不可能是您。	2026-05-17 main chat Abaddon terminology/dialogue fix
retribution	9143485	And why is that? I am Lord of the Black Legion, and Warmaster of Chaos. 	為什麼不可能？我是黑色軍團之主，也是混沌戰帥。	2026-05-17 main chat Abaddon terminology/dialogue fix
retribution	9143489	Of course, Lord Abaddon. I have not forgotten: Davian Thule lies dead, along with his "Heroes of Aurelia".	當然，阿巴頓大人。我沒有忘記：戴維安·圖勒已死，還有他的「奧雷利亞英雄」也一併死去。	2026-05-17 main chat Abaddon terminology/dialogue fix
retribution	9143509	Then I will return to Lord Abaddon with your broken body, so that he may break your soul!	那我就把你破碎的軀體帶回阿巴頓大人面前，讓他親手擊碎你的靈魂！	2026-05-17 main chat Abaddon terminology/dialogue fix
retribution	9143578	The Exterminatus will run its course; the souls of the Blood Ravens are yours, Warmaster Abaddon.	滅絕令將自行完成；血鴉的靈魂歸您所有，戰帥阿巴頓。	2026-05-17 main chat Abaddon terminology/dialogue fix
retribution	9150806	What are you waiting for? Banish this daemon so that I may fulfill my bargain with Abaddon!	你還在等什麼？驅逐這個惡魔，好讓我履行與阿巴頓的交易！	2026-05-17 main chat Abaddon terminology/dialogue fix
