game_key	id	en	zh_new	notes
all	9051067	Kill Mek Blitzzagga	殺死技霸布利札嘎	2026-05-17 13:42 JST main chat array/Mek cleanup
all	9051068	Find and kill Mek Blitzzagga. He may lead you to the Astronomic Array.	找到並殺死技霸布利札嘎。他可能會帶你找到天文陣列。	2026-05-17 13:42 JST main chat array/Mek cleanup
all	9053083	Eliminate the Ork Mek	消滅獸人技霸	2026-05-17 13:42 JST main chat array/Mek cleanup
all	9059450	Mekboy (Hero)	技霸小子（英雄）	2026-05-17 13:42 JST main chat array/Mek cleanup
all	9059474	Ork Mek	獸人技霸	2026-05-17 13:42 JST main chat array/Mek cleanup
all	9061248	Mek Blitzzagga	技霸布利札嘎	2026-05-17 13:42 JST main chat array/Mek cleanup
all	9061941	Advance to the Astronomic Array to initiate a data uplink with the battle barge	前進至天文陣列，與戰鬥駁船建立資料上傳鏈路	2026-05-17 13:42 JST main chat array/Mek cleanup
all	9076457	Mek Blitzzagga	技霸布利札嘎	2026-05-17 13:42 JST main chat array/Mek cleanup
all	9076458	Mek Blitzzagga	技霸布利札嘎	2026-05-17 13:42 JST main chat array/Mek cleanup
all	9102057	This lieutenant is an Ork Mek that has been supplying Rippa-Splitta’s horde with heavy weapons.	這名副官是一名獸人技霸，一直在為殘虐裂手的部落供應重型武器。	2026-05-17 13:42 JST main chat array/Mek cleanup
all	9106765	Mek Blitzzagga	技霸布利札嘎	2026-05-17 13:42 JST main chat array/Mek cleanup
all	9108322	Ork Mek	獸人技霸	2026-05-17 13:42 JST main chat array/Mek cleanup
all	9109233	Techpriests have located a powerful Astronomic Array on Planet Typhon. This array can identify a weakness in the Tyranid Hive Fleet.	技術神甫在泰豐上發現了一座強大的天文陣列。這座陣列能找出泰倫蟲族蟲巢艦隊的弱點。	2026-05-17 13:42 JST main chat array/Mek cleanup
all	9109256	You have located Blitzzagga, an Ork Mek and lieutenant of Rippa-Splitta. He is your only lead in the search for the astronomic array and finding a weakness in the Hive Fleet.	你已找到布利札嘎，一名獸人技霸，也是殘虐裂手的副官。他是你尋找天文陣列、找出蟲巢艦隊弱點的唯一線索。	2026-05-17 13:42 JST main chat array/Mek cleanup
all	9109263	You finally have the location of the astronomic array. You must obtain the data from this array to find a weakness in the hive fleet.	你終於掌握了天文陣列的位置。你必須從這座陣列取得數據，以找出蟲巢艦隊的弱點。	2026-05-17 13:42 JST main chat array/Mek cleanup
