game_key	id	en	zh_new	notes
all	9114834	Captain	連長	2026-05-17 13:27 JST main chat Captain rank cleanup
all	9114835	Captain	連長	2026-05-17 13:27 JST main chat Captain rank cleanup
all	9120231	Captain	連長	2026-05-17 13:27 JST main chat Captain rank cleanup
all	9120232	Captain	連長	2026-05-17 13:27 JST main chat Captain rank cleanup
all	9129259	Captain	連長	2026-05-17 13:27 JST main chat Captain rank cleanup
all	9129268	Captain	連長	2026-05-17 13:27 JST main chat Captain rank cleanup
all	9129271	Captain	連長	2026-05-17 13:27 JST main chat Captain rank cleanup
all	9137574	Carried by one of Angron's favored lieutenants during the First War for Armageddon, this terrible weapon seethes with the blinding rage of Khorne.	第一次阿米吉多頓戰爭期間，這件可怕武器曾由安格隆麾下一名受寵副官攜帶，至今仍翻湧著恐虐令人目眩的怒火。	2026-05-17 13:27 JST main chat Captain rank cleanup
all	9139846	A gift for General Castor, with compliments from General Hector Penny of the Arcadian 6th.  The following note was attached: "Remember this? I certainly do - You ripped it right from my  lieutenant's hands, and then turned and shot our would-be assassin with it. The renegade would have gunned down the whole Crusade's high-command, if not for you. I thought you might appreciate the souvenir. "	這是阿卡迪亞第六團赫克托·彭尼將軍贈予卡斯托將軍的禮物，隨附字條寫道：「記得這東西嗎？我當然記得。你直接從我副官手中奪過它，轉身就用它擊斃了企圖刺殺我們的兇手。若不是你，那名叛徒本會掃倒整個遠征軍高層。我想你會喜歡這件紀念品。」	2026-05-17 13:27 JST main chat Captain rank cleanup
all	9142096	Ah, the Puppet-Captain joins us, brothers. See how merrily he dances, blind to the Dark Gods who pull at his strings?	啊，傀儡連長加入我們了，兄弟們。看他跳得多開心，卻看不見拉扯他絲線的黑暗諸神？	2026-05-17 13:27 JST main chat Captain rank cleanup
all	9143371	Such is the final testimony of Gabriel Angelos, Captain of the Blood Ravens Third Company...	這便是血鴉第三連連長加百列·安傑洛斯的最後證詞……	2026-05-17 13:27 JST main chat Captain rank cleanup
all	9144385	One of your own captains has made some disturbing allegations regarding your Chapter Master, Azariah Kyras.	你們自己的一名連長對戰團長亞薩利亞·凱拉斯提出了令人不安的指控。	2026-05-17 13:27 JST main chat Captain rank cleanup
all	9144415	One of your own captains has made some disturbing accusations regarding your Chapter Master, Azariah Kyras.	你們自己的一名連長對戰團長亞薩利亞·凱拉斯提出了令人不安的指控。	2026-05-17 13:27 JST main chat Captain rank cleanup
