game_key	id	en	zh_new	notes
all	920111	Move your sergeant and the marines under his command to all the patrol points. The next point on your patrol is indicated by a map marker. All your troops must be at a waypoint for it to be flagged as achieved.	將你的軍士與其麾下星際戰士移動至所有巡邏點。下一個巡邏點會以地圖標記顯示。所有部隊都必須抵達路徑點，該點才會被標記為完成。	2026-05-17 12:42 JST main chat readable line cleanup
all	9054702	The planetary capital of Calderis, this rugged town has suffered under the predations of both bandits and xenos.	卡德利斯的行星首府，這座粗獷城鎮長期遭受強盜與異形掠奪。	2026-05-17 12:42 JST main chat readable line cleanup
all	9064562	Return to Calderis to bring retribution to this beast.	返回卡德利斯，向這頭野獸降下懲戒。	2026-05-17 12:42 JST main chat readable line cleanup
all	9068497	Calderis and Typhon are the chapter's worlds.	卡德利斯與泰豐都是戰團的世界。	2026-05-17 12:42 JST main chat readable line cleanup
all	9100486	Commander, if Argus falls, all of Calderis goes with it.	指揮官，如果阿格斯淪陷，整個卡德利斯都會隨之失守。	2026-05-17 12:42 JST main chat readable line cleanup
all	9102839	I have finally obtained the master control codes for Angel Forge and have transmitted them to your ship, and to Captain Angelos' fleet.	我終於取得了天使熔爐的主控代碼，並已將其傳送至你的艦船與安傑羅斯連長的艦隊。	2026-05-17 12:42 JST main chat readable line cleanup
all	9105485	An early Chapter Master of the Blood Ravens forged this mighty blade, which Davian Thule later wielded during the Dark Crusade on Kronus.	一位早期血鴉戰團長鍛造了這柄強大利刃；戴維安·圖勒後來在克羅努斯黑暗聖戰期間曾持它作戰。	2026-05-17 12:42 JST main chat readable line cleanup
all	9110689	An early Chapter Master of the Blood Ravens forged this mighty blade, which Davian Thule later wielded during the Dark Crusade on Kronus.	一位早期血鴉戰團長鍛造了這柄強大利刃；戴維安·圖勒後來在克羅努斯黑暗聖戰期間曾持它作戰。	2026-05-17 12:42 JST main chat readable line cleanup
all	9106556	Fitted with a unique optimized power generator interface, this Terminator teleporter device is fully one quarter more efficient than comparable models, allowing the suit’s energy to be diverted to other tasks. The benefits of these savings were most famously demonstrated during the Blood Ravens purging of the space hulk Port Matthias.	這件終結者傳送裝置配備獨特的優化型動力發生器接口，效率比同類型號高出整整四分之一，使裝甲能將更多能量轉供其他用途。這項節能優勢最著名的展現，正是在血鴉淨化太空廢船「馬提亞斯港」期間。	2026-05-17 12:42 JST main chat readable line cleanup
all	9107356	During in the scouring of the Space Hulk Port Matthias, the terminators of the Blood Ravens 1st Company breached the hull near the power grid for the fell vessel while the 3rd Company under Gabriel Angelos stormed the main decks. Reports from the fighting repeatedly mention the sounds of the Assault Cannons reverberating through the halls like a righteous storm of the Emperor.	在淨化太空廢船「馬提亞斯港」期間，血鴉第一連的終結者在這艘墮落巨艦動力網附近突破船殼，而加百列·安傑羅斯麾下第三連則強攻主甲板。戰鬥報告反覆提到，突擊炮的轟鳴如帝皇正義的風暴般迴盪在走廊之中。	2026-05-17 12:42 JST main chat readable line cleanup
