game_key	id	en	zh_new	notes
all	9046724	This Greenskin calls himself Rippa-Splitta and is obsessed with technology.	這名綠皮自稱殘虐裂手，而且沉迷於科技。	2026-05-17 13:38 JST main chat Hab Spire/Ork name cleanup
all	9051415	Hab Spire Legis	萊吉斯居住尖塔	2026-05-17 13:38 JST main chat Hab Spire/Ork name cleanup
all	9051416	Home to millions of Imperial Citizens, Hab Spire Legis includes important industrial and transport centers as well as housing.	萊吉斯居住尖塔是數百萬帝國公民的家園，除了住宅區之外，還包含重要的工業與交通中心。	2026-05-17 13:38 JST main chat Hab Spire/Ork name cleanup
all	9102813	My failure to heed your warnings has already cost hundreds of thousands of lives in the Hab Spires.	我沒有聽從你們的警告，已經讓居住尖塔中數十萬人喪命。	2026-05-17 13:38 JST main chat Hab Spire/Ork name cleanup
all	9106501	This ancient suit last saw service at the peak of Hab Spire Venictus during the quelling of the Fortune Insurrection. As the towering city burned, the corrupt governor was cast down from a towering height. The Inquisition sealed the upper levels for a hundred years while servitors incanted endless rituals of purification.	這套古老裝甲最後一次服役，是在鎮壓財富叛亂時，位於維尼克圖斯居住尖塔頂端。高聳城市燃燒之際，腐敗總督從塔頂被拋下。審判庭封鎖上層區域一百年，期間機僕不斷吟誦無盡淨化儀式。	2026-05-17 13:38 JST main chat Hab Spire/Ork name cleanup
all	9109254	An Ork named Rippa-Splitta has stolen the dataslate with the location of the Astronomic Array and vanished into the jungle. Seek out his lieutenants to find the Array.	一名叫殘虐裂手的獸人偷走了記載天文陣列位置的數據板，並消失在叢林中。找出他的副官，以找到陣列。	2026-05-17 13:38 JST main chat Hab Spire/Ork name cleanup
all	9109255	Locate Rippa-Splitta or his lieutenants	找到殘虐裂手或他的副官	2026-05-17 13:38 JST main chat Hab Spire/Ork name cleanup
all	9109260	Rippa-Splitta Located	已找到殘虐裂手	2026-05-17 13:38 JST main chat Hab Spire/Ork name cleanup
all	9109261	Thanks to your battle against Deff Driva, you have located the Ork Rippa-Splitta in Green Tooth Gorge on Typhon. He has the location of the astronomic array you must secure.	多虧你與死駕的戰鬥，你已在泰豐的綠牙峽谷找到獸人殘虐裂手。他掌握著你必須控制的天文陣列位置。	2026-05-17 13:38 JST main chat Hab Spire/Ork name cleanup
all	9112317	Secure Hab Spire Legis	控制萊吉斯居住尖塔	2026-05-17 13:38 JST main chat Hab Spire/Ork name cleanup
all	9133691	By deploying to Hab Spire Legis without Thaddeus , you have deprived him of the chance to defend his birthplace. Thaddeus has gained Corruption from this slight.	由於部署到萊吉斯居住尖塔時沒有帶上撒迪厄斯，你剝奪了他捍衛自己出生地的機會。撒迪厄斯因這種輕視而增加了墮落。	2026-05-17 13:38 JST main chat Hab Spire/Ork name cleanup
retribution	9143254	Labor Engine for cargo relocation operational.	用於轉移貨物的作業引擎已啟動。	2026-05-17 13:38 JST main chat Hab Spire/Ork name cleanup
