game_key	id	en	zh_new	notes
retribution	9129088	"Has the area changed since our battle with the Tyranids?"	「自從我們與泰倫蟲族交戰後，這個區域有變化嗎？」	2026-05-17 12:20 JST main chat Retribution Tyranid lore cleanup
retribution	9129285	Most notably, the Blood Ravens have erected a monument to those brothers who died fighting the Tyranids.	最引人注目的是，血鴉為那些在對抗泰倫蟲族時捐軀的兄弟建造了紀念碑。	2026-05-17 12:20 JST main chat Retribution Tyranid lore cleanup
retribution	9129509	Tyranid War	泰倫蟲族戰爭	2026-05-17 12:20 JST main chat Retribution Tyranid lore cleanup
retribution	9129759	Hive Mind psychic power allowing the Tyrant to raise a psychic shield which reduces damage.	蟲巢意志的靈能力量，使暴君能升起降低傷害的靈能護盾。	2026-05-17 12:20 JST main chat Retribution Tyranid lore cleanup
retribution	9129901	The infesting force is centered on a large and dangerous creature, but it would be best to eradicate every Tyranid in the immediate area.	侵染部隊以一頭龐大且危險的生物為中心，但最好將附近區域內的所有泰倫蟲族全部根除。	2026-05-17 12:20 JST main chat Retribution Tyranid lore cleanup
retribution	9130162	Call down mycetic spores to spawn Raveners and reinforce other nearby Tyranids.	召喚菌囊孢子，孵化吞噬蟲並增援附近其他泰倫蟲族。	2026-05-17 12:20 JST main chat Retribution Tyranid lore cleanup
retribution	9131158	The Tyranid Graveyard	泰倫蟲族墓地	2026-05-17 12:20 JST main chat Retribution Tyranid lore cleanup
retribution	9131421	Powerful synaptic link with the Hive Mind, allows the Tyrant to use his abilities more often and at a reduced cost.	與蟲巢意志的強大突觸連結，使暴君能更頻繁、以更低消耗施展能力。	2026-05-17 12:20 JST main chat Retribution Tyranid lore cleanup
retribution	9132061	Astartes Mk IIIt bolt pistol modified to fire Hellfire toxin rounds especially effective against Tyranids. Also features the Apothecary's Oath of Service emblazoned near the barrel.	阿斯塔特 MK IIIt 爆彈手槍經過改造，可發射對泰倫蟲族特別有效的地獄火毒素彈。槍管旁還飾有藥劑師的服務誓言。	2026-05-17 12:20 JST main chat Retribution Tyranid lore cleanup
retribution	9132504	During the climactic battle, Martellus was aboard a Thunderhawk gunship supporting the Space Marines on the ground. The Tyranid horde eventually overwhelmed the gunship.	在最高潮之戰期間，馬特勒斯登上雷鷹炮艇支援地面上的星際戰士。泰倫蟲族群最終淹沒了炮艇。	2026-05-17 12:20 JST main chat Retribution Tyranid lore cleanup
retribution	9132651	Substantial biomass is detected near the Reductor Vials, likely a Tyranid brood nest.	還原藥瓶附近偵測到大量生體物質，很可能是一處泰倫蟲族孵化巢。	2026-05-17 12:20 JST main chat Retribution Tyranid lore cleanup
retribution	9132671	The Blood Raven Tomas held the desert gate of Argus during the Greenskin invasion of his native Calderis, allowing Davian Thule to organize a counter attack. Tomas fell to the Tyranids later in the Crusade, but his recovered armor is relic of the chapter, a tribute to the harsh warriors recruited from Calderis.	綠皮入侵托馬斯故鄉卡德利斯時，血鴉托馬斯固守阿爾戈斯沙漠之門，使戴維安·圖勒得以組織反擊。托馬斯後來在聖戰中死於泰倫蟲族之手，但他尋回的裝甲已成為戰團聖物，向卡德利斯招募出的嚴酷戰士致敬。	2026-05-17 12:20 JST main chat Retribution Tyranid lore cleanup
retribution	9132795	Sergeant Byronis used this venerated power sword during the climactic battle with the Tyranids on Typhon Primaris. He thought the blade lost when the talons of a Ravener severed his arm and sent the blade tumbling into a deep chasm. Byronis continued the battle regardless, making use of his bolt pistol.	拜羅尼斯軍士在泰豐主星與泰倫蟲族的決戰中使用了這把受敬仰的動力劍。當吞噬蟲的利爪斬斷他的手臂，使劍墜入深淵時，他以為此劍已經遺失。拜羅尼斯仍繼續戰鬥，改用他的爆彈手槍作戰。	2026-05-17 12:20 JST main chat Retribution Tyranid lore cleanup
retribution	9132858	The heretical Techpriest Sonas Jaym forged these deadly lightning claws after an unhealthy study of the Tyranid Genestealers lurking within the space hulk Judgment of Carrion. Jaym himself was eventually slain by the subjects of his study, but his mad designs survived.	異端科技牧師索納斯·傑姆在危險地研究潛伏於太空廢船「腐屍審判」中的泰倫蟲族基因竊取者後，打造了這對致命的閃電爪。傑姆本人最終死於自己的研究對象之手，但他的瘋狂設計留存了下來。	2026-05-17 12:20 JST main chat Retribution Tyranid lore cleanup
retribution	9132965	Tyranid Synapse creatures provide bonuses to nearby non-Synapse creatures.	泰倫蟲族突觸生物會為附近的非突觸生物提供加成。	2026-05-17 12:20 JST main chat Retribution Tyranid lore cleanup
retribution	9133694	The Eldar have been located on Typhon, enacting some unknown rites at the site of your victory against the Tyranids. Tarkus insists that you must oppose their efforts.	泰豐上發現了靈族蹤跡，他們正在你擊敗泰倫蟲族的勝利之地舉行某種不明儀式。塔庫斯堅持你必須阻止他們的行動。	2026-05-17 12:20 JST main chat Retribution Tyranid lore cleanup
