game_key	id	en	zh_new	notes
all	9061679	Click on the Equipment Wargear drop (any mouse button) and it will be available for use when you return to the Strike Cruiser.	點擊掉落的裝備戰爭裝備（任意滑鼠鍵），返回打擊巡洋艦後即可使用。	2026-05-17 13:44 JST main chat Rippa/array polish
all	9101167	Finding Rippa-Splitta is our only chance of locating the astronomic array in time.	找到殘虐裂手，是我們及時定位天文陣列的唯一機會。	2026-05-17 13:44 JST main chat Rippa/array polish
all	9101199	Commander, we have located one of Rippa-Splitta’s lieutenants.	指揮官，我們已定位到殘虐裂手的一名副官。	2026-05-17 13:44 JST main chat Rippa/array polish
all	9101210	We finally have Rippa Splitta’s location. 	我們終於掌握了殘虐裂手的位置。	2026-05-17 13:44 JST main chat Rippa/array polish
all	9102051	Deff Driva is our only link to Rippa-Splitta and the astronomic array. 	死駕是我們通往殘虐裂手和天文陣列的唯一線索。	2026-05-17 13:44 JST main chat Rippa/array polish
all	9102059	Find him and extract Rippa-Splitta’s location from him.	找到他，從他口中逼問出殘虐裂手的位置。	2026-05-17 13:44 JST main chat Rippa/array polish
all	9104198	It seems the array has attracted the attention of an Ork named Rippa-Splitta.	看來這座陣列引起了一名叫殘虐裂手的獸人注意。	2026-05-17 13:44 JST main chat Rippa/array polish
all	9105850	Deff Driva is our only link to Rippa-Splitta and the astronomic array. Do not let him escape.	死駕是我們通往殘虐裂手和天文陣列的唯一線索。別讓他逃走。	2026-05-17 13:44 JST main chat Rippa/array polish
all	9106709	Rippa-Splitta Eliminated	殘虐裂手已消滅	2026-05-17 13:44 JST main chat Rippa/array polish
all	9106710	The Greenskin walker Rippa-Splitta is obsessed with technology. Destroy this alien walker, and recover the location of the astronomic array.	綠皮步行機殘虐裂手沉迷於科技。摧毀這台異族步行機，並回收天文陣列的位置。	2026-05-17 13:44 JST main chat Rippa/array polish
all	9106760	Rippa-Splitta	殘虐裂手	2026-05-17 13:44 JST main chat Rippa/array polish
