game_key	id	en	zh_new	notes
all		The Tyrant is dead. It will not build another hive, just yet.	暴君已死。至少暂时，它無法再築起另一座蟲巢。	2026-05-17 12:20 JST main chat Tyranid objective cleanup
all		Our Librarians feel the might of the Hive Mind channeled into the Tyrant, so expect it to be a powerful opponent.	我們的智庫感受到蟲巢意志的力量正灌注於暴君體內，因此它會是強大的對手。	2026-05-17 12:20 JST main chat Tyranid objective cleanup
all		Strike down this Tyrant, and the hive mind will suffer. 	擊倒這頭暴君，蟲巢意志就會遭受打擊。	2026-05-17 12:20 JST main chat Tyranid objective cleanup
all		The death of the Tyrant has caused the hive mind to recoil and the infestation to lessen. 	暴君的死亡使蟲巢意志退縮，侵染也隨之減弱。	2026-05-17 12:20 JST main chat Tyranid objective cleanup
all		We have destroyed the Tyrant's venom cannon! 	我們已經摧毀暴君的毒液炮！	2026-05-17 12:20 JST main chat Tyranid objective cleanup
all		Eliminating this Tyrant would cause the Hive Fleet to recoil, and would leave legions of lesser creatures without leadership.	消滅這頭暴君會讓蟲巢艦隊退縮，並使大批低等生物失去領導。	2026-05-17 12:20 JST main chat Tyranid objective cleanup
all		Below, the Tyrant beast lies dead.	下方，暴君獸已經伏屍。	2026-05-17 12:20 JST main chat Tyranid objective cleanup
all		Tyranids accumulate Biomass as they fight and consume their enemies. The amount of available Biomass is indicated by the Biomass meter. Biomass will give you access to the Tyranids' global abilities.	泰倫蟲族會在戰鬥並吞噬敵人時累積生體物質。可用生體物質會顯示在生體物質計量表上。生體物質可用於泰倫蟲族的全局能力。	2026-05-17 12:20 JST main chat Tyranid objective cleanup
all		You have built a Tyranid synapse creature. Hormagaunt and Termagant squads will become more powerful under the influence of synapse creatures. Be sure to protect your synapse creatures when combating the enemy. 	你已經生成了一頭泰倫蟲族突觸生物。賀瑪根和特瑪根小隊會在突觸生物影響下變得更強。與敵人交戰時，務必保護你的突觸生物。	2026-05-17 12:20 JST main chat Tyranid objective cleanup
all		Scans indicate the presence of hive nodes -- Tyranid biological turrets.	掃描顯示附近存在蟲巢節點，也就是泰倫蟲族生物炮塔。	2026-05-17 12:20 JST main chat Tyranid objective cleanup
all		Kill off the Hive Tyrant Alpha to disrupt the Tyranids in the area.	殺死阿爾法蟲巢暴君，以擾亂此區域內的泰倫蟲族。	2026-05-17 12:20 JST main chat Tyranid objective cleanup
all		Eliminate Orks and Tyranids while they fight one another.	趁獸人和泰倫蟲族自相殘殺時，將他們一併殲滅。	2026-05-17 12:20 JST main chat Tyranid objective cleanup
all		Tyranids are pushing into populated territory with amazing speed. Move in and exterminate this initial wave before larger organisms follow. 	泰倫蟲族正以驚人的速度推進至人口稠密地區。在更大型生物跟進前，前往並消滅這第一波攻勢。	2026-05-17 12:20 JST main chat Tyranid objective cleanup
all		The planet you're currently orbiting, its status, and the state of Tyranid Infestation.	你目前繞行的行星、其狀態，以及泰倫蟲族侵染情況。	2026-05-17 12:20 JST main chat Tyranid objective cleanup
all		Defeat Tyranids marked as "Prime Gene Samples"	擊敗標記為「原始基因樣本」的泰倫蟲族	2026-05-17 12:20 JST main chat Tyranid objective cleanup
