game_key	id	en	zh_new	notes
all		The Tyranids	泰倫蟲族	2026-05-17 12:20 JST main chat Tyranid terminology cleanup
all		Tyrant Talons	暴君巨爪	2026-05-17 12:20 JST main chat Tyranid terminology cleanup
all		Brood Tyrant	蟲巢暴君	2026-05-17 12:20 JST main chat Tyranid terminology cleanup
all		Tyrant Beast	暴君獸	2026-05-17 12:20 JST main chat Tyranid terminology cleanup
all		Tyrant of War	戰爭暴君	2026-05-17 12:20 JST main chat Tyranid terminology cleanup
all		Capillary Tower (Large)	大型毛細塔	2026-05-17 12:20 JST main chat Tyranid terminology cleanup
all		Capillary Tower (Medium)	中型毛細塔	2026-05-17 12:20 JST main chat Tyranid terminology cleanup
all		Tyraniformation Tower (Large)	大型泰倫化塔	2026-05-17 12:20 JST main chat Tyranid terminology cleanup
all		Tyraniformation Tower (Medium)	中型泰倫化塔	2026-05-17 12:20 JST main chat Tyranid terminology cleanup
all		Tyraniformation Tower (Small)	小型泰倫化塔	2026-05-17 12:20 JST main chat Tyranid terminology cleanup
all		Hive Infestation	蟲巢侵染	2026-05-17 12:20 JST main chat Tyranid terminology cleanup
all		Hive Mind and Tyranid Units	蟲巢意志與泰倫蟲族單位	2026-05-17 12:20 JST main chat Tyranid terminology cleanup
all		Tyranid Activity on Calderis	卡德利斯上的泰倫蟲族活動	2026-05-17 12:20 JST main chat Tyranid terminology cleanup
all		Tyranid Activity on Typhon	泰豐上的泰倫蟲族活動	2026-05-17 12:20 JST main chat Tyranid terminology cleanup
all		Tyranid Activity on Meridian	梅里迪安上的泰倫蟲族活動	2026-05-17 12:20 JST main chat Tyranid terminology cleanup
