game_key	id	en	zh_new	notes
all		Your video card is not supported. In order to run Dawn of War II you must have a Shader Model 3.0 or better Video Card.	你的顯示卡不支援本遊戲。若要執行《戰鎚 40,000：破曉之戰 II》，必須使用支援著色器模型 3.0 或更新版本的顯示卡。	2026-05-17 12:20 JST main chat UI/ascii cleanup
all		Email:	電子郵件：	2026-05-17 12:20 JST main chat UI/ascii cleanup
all		Click to sort the listing by ping rate	點選以按延遲值排序清單	2026-05-17 12:20 JST main chat UI/ascii cleanup
all		Ping/Performance Rating	延遲/效能評級	2026-05-17 12:20 JST main chat UI/ascii cleanup
all		Ping.	延遲	2026-05-17 12:20 JST main chat UI/ascii cleanup
all		Report your fancy bugs to Relic.	將你發現的錯誤回報給 Relic。	2026-05-17 12:20 JST main chat UI/ascii cleanup
all		Shader based Graphical Enhancements. Increased Settings require a faster Video Card	基於著色器的圖形增強。提高設定需要更快的顯示卡	2026-05-17 12:20 JST main chat UI/ascii cleanup
all		Shader Quality	著色器品質	2026-05-17 12:20 JST main chat UI/ascii cleanup
all		Adjust the Model Quality. Increased Settings require a faster Video Card and more Video Memory. Selecting Low will disable High Shader Quality and many other options	調整模型品質。提高設定需要更快的顯示卡和更多顯示記憶體。選擇低設定會停用高著色器品質和許多其他選項	2026-05-17 12:20 JST main chat UI/ascii cleanup
all		Move the mousewheel to zoom the camera, and press the 'backspace' key twice rapidly on the keyboard to reset the camera back to default.	滾動滑鼠滾輪以縮放鏡頭，並在鍵盤上快速按兩次 Backspace 鍵，將鏡頭重設為預設。	2026-05-17 12:20 JST main chat UI/ascii cleanup
all		Show Readme.txt after install is finished	安裝完成後顯示讀我檔案	2026-05-17 12:20 JST main chat UI/ascii cleanup
