game_key	id	en	zh_new	notes
all	9128343	The Weirdboy is a long-range support unit and caster. Charge his energy by putting him near da boyz and having them shout.	怪異小子是遠距離支援與施法單位。讓他待在獸人小子附近，聽小子們喊出 WAAAGH 來補充能量。	2026-05-17 12:34 JST main chat WAAAGH cleanup
all	9132916	Waaagh Shout	WAAAGH 戰吼	2026-05-17 12:34 JST main chat WAAAGH cleanup
all	9132968	All Ork infantry can use the Waaagh Shout ability to increase the strength and speed of nearby friendly Orks.	所有獸人步兵都可以使用「WAAAGH 戰吼」能力，提升附近友方獸人的力量與速度。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134359	The Weirdboy is a long-range support unit and caster. Charge his energy by putting him near da boyz and having them shout.	怪異小子是遠距離支援與施法單位。讓他待在獸人小子附近，聽小子們喊出 WAAAGH 來補充能量。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134624	Waaagh! gains a chance to call in additional orks who are drawn to the warbosses call for battle.  This also increases the healing potency of Getting Stuck in Wit Da Boyz.	WAAAGH 有機會召來更多被戰爭頭目戰鬥號召吸引而來的獸人，同時提升「跟小子們一起幹」的治療效力。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134625	Waaagh! gains a chance to call in additional orks who are drawn to the warbosses call for battle.  This also increases the healing potency of Getting Stuck in Wit Da Boyz.	WAAAGH 有機會召來更多被戰爭頭目戰鬥號召吸引而來的獸人，同時提升「跟小子們一起幹」的治療效力。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134632	Get to Da Waaagh!	加入 WAAAGH！	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134634	Allied squads around Bluddflagg periodically reinforce as more Orks come to join the Waaagh!	布拉德弗拉格周圍的友方小隊會定期獲得增援，因為更多獸人前來加入 WAAAGH。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134638	Big Waaagh!	大 WAAAGH！	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134639	Increases the Warbosses healing potency and Waaagh! has a chance to call in additional orks.	提升戰爭頭目的治療效力，且 WAAAGH 有機會召來額外獸人。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134640	Increases Bluddflag's healing, squads around him reinforce more often and Waaagh! has a chance to call in additional but temporary orks.	提升布拉德弗拉格的治療效果，使其周圍小隊更頻繁獲得增援，且 WAAAGH 有機會召來額外的臨時獸人。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134642	Waaagh! gains a chance to call in additional orks who are drawn to the warbosses call for battle.  This also increases the healing potency of Getting Stuck in Wit Da Boyz.	WAAAGH 有機會召來更多被戰爭頭目戰鬥號召吸引而來的獸人，同時提升「跟小子們一起幹」的治療效力。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134643	Waaagh! gains a chance to call in additional orks who are drawn to the warbosses call for battle.  This also increases the healing potency of Getting Stuck in Wit Da Boyz.	WAAAGH 有機會召來更多被戰爭頭目戰鬥號召吸引而來的獸人，同時提升「跟小子們一起幹」的治療效力。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134675	Mega Waaagh!	超級 WAAAGH！	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134751	Lowers the cooldown and energy cost of Mr. Nailbrain's abilities.  When Waaagh is active, they are further reduced.	降低釘腦先生能力的冷卻時間與能量消耗。WAAAGH 啟動時，這些消耗會進一步降低。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134752	Lowers the Energy cost and recharge times of Mr. Nailbrain's abilities.  When Waaagh! is active, they are further reduced.	降低釘腦先生能力的能量消耗與冷卻時間。WAAAGH 啟動時，這些消耗會進一步降低。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134754	The mekboy is a master tinkerer, all of his abilities receive a reduction in cooldown.  This cooldown bonus is increased when Waaagh! is active.	技霸小子是修修補補的大師，所有能力的冷卻時間都會縮短。WAAAGH 啟動時，此冷卻加成會提高。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134755	The mekboy is a master tinkerer, all of his abilities receive a reduction in cooldown.  This cooldown bonus is increased when Waaagh! is active.	技霸小子是修修補補的大師，所有能力的冷卻時間都會縮短。WAAAGH 啟動時，此冷卻加成會提高。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134772	Lootas have a chance to deal bonus damage and stun infantry.  100% chance if fully concealed or Waaagh! is active.	強盜小子有機會造成額外傷害並震懾步兵。若完全隱蔽或 WAAAGH 已啟動，觸發機率為 100%。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134838	Whenever the Storm Nob uses an ability it restores some health and energy.  If he is under the effects of Waaagh!, these bonuses will be significant.	暴風老大每次使用能力時都會恢復部分生命值與能量。若他正受到 WAAAGH 影響，這些加成會大幅提高。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134844	Before dying the Storm Nob goes into an uncontrollable rage, attacking enemy units.  If under the influence of Waaagh!, he will not die when the rage wears off.	暴風老大瀕死時會陷入無法控制的狂怒，攻擊敵方單位。若處於 WAAAGH 影響下，狂怒結束時他不會死亡。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134847	When about to die the Slugga will temporarily go into an uncontrollable rage and attack all enemy units with increased damage.  If he is under the influence of Waaagh! at the time, he will not die.	砍刀小子瀕死時會暫時陷入無法控制的狂怒，以更高傷害攻擊所有敵方單位。若當時處於 WAAAGH 影響下，他不會死亡。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9134848	When about to die the Slugga will temporarily go into an uncontrollable rage and attack all enemy units with increased damage.  If he is under the influence of Waaagh! at the time, he will not die.	砍刀小子瀕死時會暫時陷入無法控制的狂怒，以更高傷害攻擊所有敵方單位。若當時處於 WAAAGH 影響下，他不會死亡。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9135100	Waaagh! temporarily relieves suppression and boosts the speed, damage and defense of nearby Ork infantry. The more units in the area, the greater the effect.	WAAAGH 會暫時解除壓制，並提升附近獸人步兵的速度、傷害與防禦。區域中的單位越多，效果越強。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9135103	Waaagh temporarily relieves suppression and boosts the speed, damage and defense of nearby Ork infantry. The more units in the area, the greater the effect.  Has a chance to reinforce nearby squads.	WAAAGH 會暫時解除壓制，並提升附近獸人步兵的速度、傷害與防禦。區域中的單位越多，效果越強。另有機會增援附近小隊。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9135166	Grants Build Waaagh! Banner ability	賦予建造 WAAAGH 戰旗的能力	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9135169	Gives a Blueprint from which to construct Waaagh! Banners	提供可用來建造 WAAAGH 戰旗的藍圖	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9138892	Reduce ability recharge times and Waaagh/Energy costs for all nearby Ork infantry. Battlewagon is immobilized while the ability is active.	降低所有附近獸人步兵的能力冷卻時間與 WAAAGH/能量消耗。能力啟動期間，戰鬥貨車無法移動。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9141107	Waaagh! temporarily relieves suppression and boosts the speed, damage and defense of nearby Ork infantry. The more units in the area, the greater the effect.	WAAAGH 會暫時解除壓制，並提升附近獸人步兵的速度、傷害與防禦。範圍中的單位越多，效果越強。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9142309	Listen up gitz, Warboss Smashface sayz dere will be fightin' ahead, 'n we need ta get our gear to da Waaagh!	聽好了，蠢貨們，戰爭頭目碎臉說前面有仗要打，俺們得把裝備送到 WAAAGH 那邊！	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9142311	So just be sure ta get enuf trukks past da supply station for da Waaagh! 	所以務必讓足夠多的卡車通過補給站，送去給 WAAAGH！	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9142590	The canyon we'z goin' thru is da perfect place fer a enemy ambush... an wez ta go fru it to reach da Waaagh!	俺們要穿過的峽谷正適合敵人埋伏……但俺們必須穿過去，才能抵達 WAAAGH！	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9142593	We only needs a few of da trukks ta make it back to da Waaagh! and wez be ready for da next big fight.	俺們只需要幾輛卡車回到 WAAAGH 那邊，就能準備好下一場大仗。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9142783	Waaagh Time	WAAAGH 時間	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9142856	Waaagh! Get dat ‘Quisitor on da horn. 	WAAAGH！快接通那個審判官。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9143175	Waaagh!  Crush'em under da Deffrolla!	WAAAGH！用死亡碾輪把他們壓扁！	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9143433	Orks? Orks!? The Emperor's slaves send ORKS? HA! AH HA HA HA HA!	獸人？獸人！？帝皇的奴隸派來了獸人？哈！啊哈哈哈哈！	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9143463	Kyras is dere! Get ready you great posh tin plated stomp bait! DA ORKS IS COMING! WAAAGH!	凱拉斯就在那！準備好吧，你這裝腔作勢的鐵皮挨踩貨！獸人來了！WAAAGH！	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9143755	OI! Gribblies comin'. WAAAGH! 	喂！那些小怪物來了。WAAAGH！	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9145083	Oh well. 'Ere we go! WAAAGH! 	好吧。俺們上！WAAAGH！	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9145695	FREEBOOTAZ! WAAAGH!	自由掠奪者！WAAAGH！	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9145712	Miss'ta Nailbrain! Gather the boyz! WAAAGH! 	釘腦先生！召集小子們！WAAAGH！	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9145715	Miss'ta Nailbrain! Gather da boyz! WAAAGH! 	釘腦先生！召集小子們！WAAAGH！	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9150592	Global Waaagh!	全域 WAAAGH！	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9150593	Reduces the cooldown and energy cost of the Warbosses abilities, includes Global abilities.	降低戰爭頭目能力的冷卻時間與能量消耗，包含全域能力。	2026-05-17 12:34 JST main chat WAAAGH cleanup
retribution	9150594	Reduces the cooldown and energy cost of the Warbosses abilities, includes Global abilities.	降低戰爭頭目能力的冷卻時間與能量消耗，包含全域能力。	2026-05-17 12:34 JST main chat WAAAGH cleanup
