game_key	id	en	zh_new	notes
all		Order a massive Rokk strike on a targeted position. Costs Waaagh to use.	命令對目標位置發動大規模巨岩打擊。使用時消耗 WAAAGH。	2026-05-17 12:20 JST main chat Waaagh mechanics cleanup
all		Ork Waaagh!	獸人 WAAAGH！	2026-05-17 12:20 JST main chat Waaagh mechanics cleanup
all		The Orks have a special resource called Waaagh! Earn Waaagh! points by fighting, killing, and dying. Waaagh! points are spent on special Ork abilities.	獸人擁有一種名為 WAAAGH 的特殊資源。通過戰鬥、殺戮和死亡獲得 WAAAGH 點數。WAAAGH 點數可用於獸人的特殊能力。	2026-05-17 12:20 JST main chat Waaagh mechanics cleanup
all		A proper Waaagh!	正宗 WAAAGH！	2026-05-17 12:20 JST main chat Waaagh mechanics cleanup
all		Not enough Waaagh, boss.	WAAAGH 不足，頭目。	2026-05-17 12:20 JST main chat Waaagh mechanics cleanup
all		Waaagh temporarily boosts the speed, damage and defense of nearby Ork infantry. The more units using this ability together, the greater the effect.	WAAAGH 會暫時提升附近獸人步兵的速度、傷害和防禦。一起使用此能力的單位越多，效果越強。	2026-05-17 12:20 JST main chat Waaagh mechanics cleanup
all		Channel the power of da Waaagh! to make all nearby boyz faster and harder to kill.	引導 WAAAGH 的力量，使附近所有小子移動更快，也更難被殺死。	2026-05-17 12:20 JST main chat Waaagh mechanics cleanup
all		Earn Waaagh! by fighting and killing your enemies.	透過戰鬥並殺死敵人來獲得 WAAAGH。	2026-05-17 12:20 JST main chat Waaagh mechanics cleanup
all		Sort by ping.	依延遲排序。	2026-05-17 12:20 JST main chat UI/ascii cleanup
all		To zoom the camera in or out, scroll up or down with the mouse wheel. Scrolling up zooms in and scrolling down zooms out. Press the keyboard's Backspace key to reset the camera to defaults.	若要拉近或拉遠鏡頭，請上下滾動滑鼠滾輪。向上滾動會拉近，向下滾動會拉遠。按下鍵盤的 Backspace 鍵可將鏡頭重設為預設狀態。	2026-05-17 12:20 JST main chat UI/ascii cleanup
